question_index,question_textid,KP_index,deltaMeanZShiftCorrect,deltaMeanZShiftIncorrect,centerValue,iqta,weights_1,weights_2,weights_3,weights_4,inTestBank
347,299159,32,0.110263905082205,-0.198492292266516,0.376809291087602,0,0.343589535784908,0.0298316778558055,0.0181532179905815,0.196458215456825,1
348,299160,32,0.0168926276816281,-0.0189773229385371,0.0757455823619584,0,0.279421162310696,-0.242337478872691,0.0144700796717215,0.0194568594911187,1
349,299162,32,0.081008880971245,-0.224225832737109,0.669736970964191,0,0.509292660784908,-0.0868348726174546,0.175327586861406,0.0288090353143384,1
350,299163,32,0.0548419077430445,-0.115728753005308,0.490295872999979,0,0.383291215472408,-0.0850083904182646,0.0222908773594879,0.0240647448485513,1
351,299164,32,0.0545505630293229,-0.0578433892187919,0.0424233418915272,0,0.510807660784908,-0.266857524375117,0.0168134322329785,0.0240647448485513,1
352,299166,33,0.0925886131172835,-0.294326403168811,0.722370291454083,0,0.324652035784908,0.145813297504369,0.0978777292796831,0.120194229676215,1
353,299168,33,0.0663688745731785,-0.244818789684797,0.857568408900412,0,0.551902035784908,0.145813297504369,0.0153947784113105,-0.0701813565008109,1
354,299170,33,0.0342053886856323,-0.14719696811689,0.950402392684124,0,0.438277035784908,0.145813297504369,-0.150350701150406,-0.0701813565008109,1
355,299171,33,0.0614138645349824,-0.173228808478264,0.689257985364674,0,0.497362035784908,-0.118341690553482,0.0979755633157353,0.01707308639147,1
356,299172,33,0.0725475771130036,-0.509252877779253,1.2032086277368,0,0.438277035784908,0.340105341443204,-0.064682734969473,0.306940900307724,1
357,299179,92,0.0341696117954044,-0.0928650245700049,0.654228191243871,0,0.362527035784908,-0.153600305736253,0.014015558621675,0.031619542551907,1
358,299180,92,0.0747288815665473,-0.0957019595214431,0.158152027032107,0,0.23526514640045,-0.110246674413984,0.0137968312160621,0.183589998180663,1
359,299181,92,0.0661997051086449,-0.28686215412252,0.925302769724458,0,0.443011410784909,0.0200999523882464,0.0126882115861547,0.174807995255742,1
360,299183,92,0.0951188182970361,-0.229714365895272,0.552927918767159,0,0.229964535784908,0.147868089978458,0.0126395891342478,0.193481027267409,1
361,299184,92,0.049694244554026,-0.108903498243472,0.494939437612675,0,0.229964535784908,0.147868089978458,-0.119872188331318,0.031619542551907,1
362,299190,93,0.0930137004473768,-0.202761701446803,0.530724478480547,-0.002,0.596594535784909,-0.0569356976042888,0.019532437780217,0.106665921685933,1
363,299193,94,0.0806272501344717,-0.278094971392693,0.780896255520398,0.0108893552147829,0.394342035784908,0.0116524722169927,0.230415006116977,0.0260620243264639,1
364,299195,94,0.0969546534036949,-0.298941740958944,0.713332078286859,0,0.406462035784908,0.14767749476966,0.0126363388320395,0.166181112492923,1
365,299197,94,0.0537641203090703,-0.486519206483962,1.39200631615921,0,0.702392035784908,0.332242673952539,-0.152294920387935,0.178904854493852,1
366,299199,94,0.111835851965756,-0.454697623761046,0.91361945507903,0.002,0.666095160784909,0.138767831812407,0.326017982807535,0.0285976234705647,1
367,299200,94,0.097129089755381,-0.306130599314623,0.746445803718362,0,0.553417035784909,0.142388643380888,0.0126363388320395,0.100340506977235,1
368,299201,94,0.0577933408134379,-0.146417294614629,0.606495841347012,0,0.418582035784908,-0.213482862921444,0.177108298746071,0.025754650424842,1
369,299202,94,0.147772843709729,-0.199505560796912,0.201221056480072,0,0.551397035784909,0.0129826001079852,0.0125357566499043,0.171490732580237,1
370,299203,38,0.0404532066144916,-0.071870589285039,0.421606678834518,0,0.507777660784908,-0.178849898640305,0.0869705133517108,-0.125448711054413,1
371,2ba820a39863487b853f1de42f5535db,98,0.0393335224518708,-0.0511901777520313,0.167120532439285,0,0.0990940057389404,0.185554912823409,-0.0022288301911949,-0.114365876700804,0
372,2bb0ad20e8864fc7918fe175c4aa0aa2,18,0.0913653486179855,-0.377964545435024,0.947614328201361,0,0.228917513722322,0.757592039732144,0.0372499183100914,0.0213936494987097,0
373,2bbcecbf2b0249418572f946262ac0f2,17,0.0973989864795866,-0.194260166517471,0.44105608583198,0,0.12431321025896,0.349301420744251,0.0165314783796025,0.0609676633212273,0
374,2c7581d93ae24d4ebcde5c07d21c9739,15,-3.03826277202766e-05,1.93793361079699e-05,-0.0862971550211769,0,0.0974020357849084,-0.0371873707459849,-0.0709470177697256,0.0111141186273718,0
375,2e72e178583e42f19ae09161f22ad70c,98,0.0592894357281511,-0.119615595238019,0.453259860082652,0,0.134159325977872,0.335825181955092,0.00715781912580858,-0.130316225947933,0
376,2e807efbb6d34278ae31ef5c60a684f4,22,0.0588094069020963,-0.082457035718259,0.214259425074382,0,0.0974020357849084,0.206476440590292,-0.070634055967203,0.0285976234705647,0
377,300330,76,0.0529930190186104,-0.315959852875239,1.09197721817681,0,0.321117035784908,0.263918896716716,0.0235890659832916,0.0149989876045245,1
378,300331,76,0.0340872498307392,-0.40359208443052,1.57792773675897,0,0.611428910784908,0.542045779591146,-0.157697305187943,-0.0861308471785454,1
379,300332,77,0.0243920498595535,-0.0630876114942837,0.678760112398867,0,0.450397035784908,-0.192542529895575,0.108811923644155,-0.152413991321201,1
380,300334,77,0.0881178423617667,-0.464112279370256,1.06477025284032,0,0.627652035784908,0.331600783703225,0.11021613894875,0.0135358767435947,1
381,300336,78,0.0706282259875822,-0.287780572293465,0.907734332221625,0,0.544863598284908,0.121155787815305,0.0223684048278531,0.0216082416701511,1
382,300340,76,-0.00753375891245285,0.0190650378940754,0.438681489835127,0,0.492850174694141,-0.374154655927685,0.0175740654234061,-0.137501904036788,1
383,300343,76,0.0567537821898661,-0.19353972341729,0.784490465234514,0,0.402422035784908,0.0444435354493253,0.176738681445571,-0.148290713928041,1
384,300345,76,0.0836996594552895,-0.155657392718352,0.413849126216612,0,0.476152035784909,-0.0753554056866645,0.0247582496700701,0.0803765067883961,1
385,300350,76,0.0503738953720521,-0.101785924165617,0.466186271001092,0,0.492331146110811,-0.373878957024281,0.0238743397827473,0.177600952425664,1
386,300351,76,0.0707291631968943,-0.201978795657224,0.671769680758577,0,0.398382035784908,-0.073151372368546,0.0992243749948888,0.0943658038103388,1
387,300352,76,0.0648879402905621,-0.304360875129739,0.994233602967076,0.002,0.546347035784908,0.235168231342867,0.121508500976391,-0.177388574157226,1
388,300354,78,0.121435899310758,-0.322569551886832,0.657176866834633,0,0.708136410784908,0.150607813277243,0.107681457215732,0.0255757043892225,1
389,300359,78,0.147814873616085,-0.122649393105877,-0.136879718383291,0,0.782702817034908,-0.262291318877142,0.103828462617669,0.130133967643221,1
390,300361,79,0.0570735201193033,-0.459694791216868,1.29566497246003,0.002,0.553417035784909,0.33981995359958,0.0168048083873617,0.0285749105003715,1
391,300362,79,0.0615142401409658,-0.158201415122833,0.605319143008701,0,0.360759535784908,0.0148488160655752,0.0141945467171851,0.0284645940758029,1
392,300364,79,0.176334668098447,-0.326904216711594,0.394230103081856,0,0.27040489192805,0.146207752832637,0.33584848875475,0.196700210890912,1
393,300365,79,0.0293653908230554,-0.0795541528925844,0.756525544222921,0,0.551902035784908,-0.114974113998725,0.0167781288637358,-0.148392372475411,1
394,300369,79,0.0481095230179221,-0.0668848235936157,0.236044374287901,0,0.47340454698587,-0.177326449810136,-0.0397243869484816,0.0257318538931862,1
395,300370,79,0.169738350307686,-0.18130069847585,0.0464564305060332,0,0.741277035784908,0.0129438522093887,0.0181532179905815,0.10910159083802,1
396,300371,80,0.0685505045646364,-0.165200940451358,0.6095415802176,0,0.589650785784908,-0.0868348726174546,0.0142303957737304,0.0316456200137709,1
397,300372,80,0.01957976779043,-0.0201307413224409,0.0488690653344145,0,0.742287035784909,-0.438661006236425,0.00377996989749058,-0.0540880389078793,1
398,300373,80,0.0428300489700081,-0.0678079091638974,0.360856666514317,0,0.579550785784908,-0.0868348726174546,-0.196676721610344,0.0306358953264761,1
399,300375,80,0.0825089390681521,-0.156499939883745,0.448510583930188,0,0.607199535784908,-0.0868348726174546,0.0219377124108938,0.0331305020925782,1
400,300379,80,0.0583391497607023,-0.103402611121409,0.46354789560968,0,0.873334535784908,-0.431355077439665,0.0222592350309971,0.11881889795208,1
